Proteome Id	Organism	Organism Id	Protein count	BUSCO	CPD	Components	Taxonomic lineage	Genome assembly ID	Genome representation
UP000837857	Iphiclides podalirius (scarce swallowtail)	110791	20151	C:0.1%[S:0.1%,D:0.0%],F:0.1%,M:99.9%,n:5286	Unknown	Chromosome 1; Chromosome 2; Chromosome 3; Chromosome 4; Chromosome 5; Chromosome 6; Chromosome 7; Chromosome 8; Chromosome 9; Chromosome 10; Chromosome 11; Chromosome 12; Chromosome 13; Chromosome 14; Chromosome 15; Chromosome 16; Chromosome 17; Chromosome 18; Chromosome 19; Chromosome 20; Chromosome 21; Chromosome 22; Chromosome 23; Chromosome 24; Chromosome 25; Chromosome 26; Chromosome 27; Chromosome 28; Chromosome 29; Chromosome 30; Unassembled WGS sequence	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Mandibulata, Pancrustacea, Hexapoda, Insecta, Dicondylia, Pterygota, Neoptera, Endopterygota, Amphiesmenoptera, Lepidoptera, Glossata, Neolepidoptera, Heteroneura, Ditrysia, Obtectomera, Papilionoidea, Papilionidae, Papilioninae, Leptocircini, Iphiclides	GCA_933534255.1	full
UP000838756	Pararge aegeria aegeria	348720	28746	C:87.5%[S:81.1%,D:6.4%],F:6.3%,M:6.1%,n:5286	Unknown	Unassembled WGS sequence	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Mandibulata, Pancrustacea, Hexapoda, Insecta, Dicondylia, Pterygota, Neoptera, Endopterygota, Amphiesmenoptera, Lepidoptera, Glossata, Neolepidoptera, Heteroneura, Ditrysia, Obtectomera, Papilionoidea, Nymphalidae, Satyrinae, Satyrini, Parargina, Pararge, Pararge aegeria	GCA_934870175.1	full
UP000886998	Trichonephila inaurata madagascariensis	2747483	50567	C:94.2%[S:78.1%,D:16.1%],F:1.8%,M:3.9%,n:2934	Unknown	Unassembled WGS sequence	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Chelicerata, Arachnida, Araneae, Araneomorphae, Entelegynae, Orbiculariae, Araneoidea, Nephilidae, Trichonephila, Trichonephila inaurata	GCA_019973955.1	full
UP000887013	Nephila pilipes (Giant wood spider) (Nephila maculata)	299642	67428	C:96.6%[S:78.7%,D:17.9%],F:1.3%,M:2.1%,n:2934	Unknown	Unassembled WGS sequence	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Chelicerata, Arachnida, Araneae, Araneomorphae, Entelegynae, Orbiculariae, Araneoidea, Nephilidae, Nephila	GCA_019974015.1	full
UP000887116	Trichonephila clavata (Joro spider) (Nephila clavata)	2740835	66371	C:96.0%[S:80.3%,D:15.7%],F:1.5%,M:2.5%,n:2934	Unknown	Unassembled WGS sequence	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Chelicerata, Arachnida, Araneae, Araneomorphae, Entelegynae, Orbiculariae, Araneoidea, Nephilidae, Trichonephila	GCA_019973975.1	full
UP000887159	Trichonephila clavipes (Golden silk orbweaver) (Nephila clavipes)	2585209	50497	C:10.0%[S:8.4%,D:1.5%],F:0.7%,M:89.3%,n:2934	Unknown	Unassembled WGS sequence	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Chelicerata, Arachnida, Araneae, Araneomorphae, Entelegynae, Orbiculariae, Araneoidea, Nephilidae, Trichonephila	GCA_019973935.1	full
UP000887458	Dermatophagoides pteronyssinus (European house dust mite)	6956	14675	C:92.7%[S:88.0%,D:4.7%],F:0.4%,M:6.8%,n:2934	Unknown	Unassembled WGS sequence	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Chelicerata, Arachnida, Acari, Acariformes, Sarcoptiformes, Astigmata, Psoroptidia, Analgoidea, Pyroglyphidae, Dermatophagoidinae, Dermatophagoides	GCA_003076615.3	full
UP000887562	Echinococcus canadensis	519352	1306	C:13.1%[S:13.1%,D:0.0%],F:1.4%,M:85.5%,n:954	Unknown	Unplaced	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Spiralia, Lophotrochozoa, Platyhelminthes, Cestoda, Eucestoda, Cyclophyllidea, Taeniidae, Echinococcus, Echinococcus canadensis group	GCA_900004735.1	partial
UP000887564	Parascaris equorum (Equine roundworm)	6256	14468	C:9.6%[S:9.5%,D:0.1%],F:4.8%,M:85.7%,n:3131	Unknown	Unplaced	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda, Chromadorea, Rhabditida, Spirurina, Ascaridomorpha, Ascaridoidea, Ascarididae, Parascaris	GCA_000951375.1	full
UP000887565	Romanomermis culicivorax (Nematode worm)	13658	48309	C:39.6%[S:38.2%,D:1.4%],F:4.4%,M:56.0%,n:3131	Unknown	Unplaced	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda, Enoplea, Dorylaimia, Mermithida, Mermithoidea, Mermithidae, Romanomermis	GCA_001039655.1	full
UP000887574	Ditylenchus dipsaci	166011	27614	C:54.0%[S:46.2%,D:7.8%],F:4.2%,M:41.7%,n:3131	Unknown	Unplaced	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda, Chromadorea, Rhabditida, Tylenchina, Tylenchomorpha, Sphaerularioidea, Anguinidae, Anguininae, Ditylenchus	GCA_004194705.1	full
UP000887578	Panagrolaimus davidi	227884	25683	C:25.4%[S:22.8%,D:2.6%],F:3.8%,M:70.7%,n:3131	Unknown	Unplaced	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda, Chromadorea, Rhabditida, Tylenchina, Panagrolaimomorpha, Panagrolaimoidea, Panagrolaimidae, Panagrolaimus	GCA_901779475.1	full
UP001054837	Caerostris darwini	1538125	55519	C:95.6%[S:80.4%,D:15.2%],F:1.1%,M:3.3%,n:2934	Unknown	Unassembled WGS sequence	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Chelicerata, Arachnida, Araneae, Araneomorphae, Entelegynae, Orbiculariae, Araneoidea, Araneidae, Caerostris	GCA_021605075.1	full
UP001054945	Caerostris extrusa (Bark spider) (Caerostris bankana)	172846	82696	C:84.8%[S:75.3%,D:9.4%],F:6.6%,M:8.6%,n:2934	Unknown	Unassembled WGS sequence	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Chelicerata, Arachnida, Araneae, Araneomorphae, Entelegynae, Orbiculariae, Araneoidea, Araneidae, Caerostris	GCA_021605095.1	full
UP001056778	Holotrichia oblita (Chafer beetle)	644536	18108	C:80.1%[S:45.4%,D:34.7%],F:3.6%,M:16.3%,n:2124	Unknown	Chromosome 1; Chromosome 2; Chromosome 3; Chromosome 4; Chromosome 5; Chromosome 6; Chromosome 7; Chromosome 8; Chromosome 9; Chromosome 10	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Mandibulata, Pancrustacea, Hexapoda, Insecta, Dicondylia, Pterygota, Neoptera, Endopterygota, Coleoptera, Polyphaga, Scarabaeiformia, Scarabaeoidea, Scarabaeidae, Melolonthinae, Holotrichia	GCA_023690525.1	full
UP001057279	Ovis ammon polii x Ovis aries	2918886	20734	C:87.4%[S:86.1%,D:1.4%],F:2.4%,M:10.2%,n:13335	Unknown	Chromosome X; Linkage Group LG01; Linkage Group LG02; Linkage Group LG03; Linkage Group LG04; Linkage Group LG05; Linkage Group LG06; Linkage Group LG07; Linkage Group LG08; Linkage Group LG09; Linkage Group LG10; Linkage Group LG11; Linkage Group LG12; Linkage Group LG13; Linkage Group LG14; Linkage Group LG15; Linkage Group LG16; Linkage Group LG17; Linkage Group LG18; Linkage Group LG19; Linkage Group LG20; Linkage Group LG21; Linkage Group LG22; Linkage Group LG23; Linkage Group LG24; Linkage Group LG25; Linkage Group LG26	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Laurasiatheria, Artiodactyla, Ruminantia, Pecora, Bovidae, Caprinae, Ovis	GCA_023701675.1	full
UP001057452	Chaenocephalus aceratus (Blackfin icefish) (Chaenichthys aceratus)	36190	28945	C:77.6%[S:71.8%,D:5.8%],F:5.2%,M:17.2%,n:3640	Unknown	Chromosome 1; Chromosome 2; Chromosome 3; Chromosome 4; Chromosome 5; Chromosome 6; Chromosome 7; Chromosome 8; Chromosome 9; Chromosome 10; Chromosome 11; Chromosome 12; Chromosome 13; Chromosome 14; Chromosome 15; Chromosome 16; Chromosome 18; Chromosome 17; Chromosome 20; Chromosome 19; Chromosome 21; Chromosome 22; Chromosome 23; Chromosome 24	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Actinopterygii, Actinopteri, Neopterygii, Teleostei, Osteoglossocephalai, Clupeocephala, Euteleosteomorpha, Neoteleostei, Eurypterygia, Ctenosquamata, Acanthomorphata, Euacanthomorphacea, Percomorphaceae, Eupercaria, Perciformes, Notothenioidei, Channichthyidae, Chaenocephalus	GCA_023974075.1	full
UP001064048	Choristoneura fumiferana (Spruce budworm moth) (Archips fumiferana)	7141	22898	C:84.7%[S:67.5%,D:17.2%],F:3.6%,M:11.7%,n:5286	Unknown	Chromosome 2; Chromosome 3; Chromosome 4; Chromosome 5; Chromosome 6; Chromosome 7; Chromosome 8; Chromosome 9; Chromosome 10; Chromosome 11; Chromosome 12; Chromosome 13; Chromosome 14; Chromosome 15; Chromosome 16; Chromosome 17; Chromosome 18; Chromosome 19; Chromosome 20; Chromosome 21; Chromosome 22; Chromosome 23; Chromosome 24; Chromosome 26; Chromosome 25; Chromosome 27; Chromosome 28; Chromosome 29; Chromosome 30; Chromosome Z	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Mandibulata, Pancrustacea, Hexapoda, Insecta, Dicondylia, Pterygota, Neoptera, Endopterygota, Amphiesmenoptera, Lepidoptera, Glossata, Neolepidoptera, Heteroneura, Ditrysia, Apoditrysia, Tortricoidea, Tortricidae, Tortricinae, Archipini, Choristoneura	GCA_025370935.1	full
UP001066276	Pleurodeles waltl (Iberian ribbed newt)	8319	137737	C:89.6%[S:86.8%,D:2.8%],F:3.5%,M:6.9%,n:5310	Unknown	Chromosome 5; Chromosome 6; Chromosome 7; Chromosome 8; Chromosome 9; Chromosome 10; Chromosome 11; Chromosome 12; Chromosome 1_1; Chromosome 1_2; Chromosome 2_1; Chromosome 2_2; Chromosome 3_1; Chromosome 3_2; Chromosome 4_1; Chromosome 4_2; Mitochondrion MT; Unassembled WGS sequence	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amphibia, Batrachia, Caudata, Salamandroidea, Salamandridae, Pleurodelinae, Pleurodeles	GCA_026652325.1	full
UP001107558	Polypedilum vanderplanki (Sleeping chironomid midge)	319348	19076	C:95.8%[S:87.1%,D:8.7%],F:1.0%,M:3.2%,n:3285	Unknown	Chromosome 1; Chromosome 2; Chromosome 3; Chromosome 4; Unassembled WGS sequence	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Mandibulata, Pancrustacea, Hexapoda, Insecta, Dicondylia, Pterygota, Neoptera, Endopterygota, Diptera, Nematocera, Culicomorpha, Chironomoidea, Chironomidae, Chironominae, Chironomini, Polypedilum, Polypedilum	GCA_018290095.1	full
UP001148018	Muraenolepis orangiensis (Patagonian moray cod)	630683	33976	C:77.2%[S:73.5%,D:3.7%],F:5.6%,M:17.2%,n:3640	Unknown	Chromosome 1; Chromosome 2; Chromosome 3; Chromosome 4; Chromosome 5; Chromosome 6; Chromosome 7; Chromosome 8; Chromosome 9; Chromosome 10; Chromosome 11; Chromosome 12; Chromosome 13; Chromosome 14; Chromosome 15; Chromosome 16; Chromosome 17; Chromosome 18; Chromosome 19; Chromosome 20; Chromosome 21; Chromosome 22; Chromosome 23; Chromosome 24; Chromosome 25; Unassembled WGS sequence	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Actinopterygii, Actinopteri, Neopterygii, Teleostei, Osteoglossocephalai, Clupeocephala, Euteleosteomorpha, Neoteleostei, Eurypterygia, Ctenosquamata, Acanthomorphata, Paracanthopterygii, Zeiogadaria, Gadariae, Gadiformes, Muraenolepidoidei, Muraenolepididae, Muraenolepis	GCA_027704905.1	full
UP001148838	Periplaneta americana (American cockroach) (Blatta americana)	6978	27025	C:61.4%[S:60.1%,D:1.3%],F:6.9%,M:31.7%,n:1367	Unknown	Unassembled WGS sequence	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Mandibulata, Pancrustacea, Hexapoda, Insecta, Dicondylia, Pterygota, Neoptera, Polyneoptera, Dictyoptera, Blattodea, Blattoidea, Blattidae, Blattinae, Periplaneta	GCA_025594305.2	full
UP001152562	Pieris brassicae (White butterfly) (Large white butterfly)	7116	16176	C:97.8%[S:86.4%,D:11.4%],F:0.5%,M:1.7%,n:5286	Unknown	Unassembled WGS sequence	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Mandibulata, Pancrustacea, Hexapoda, Insecta, Dicondylia, Pterygota, Neoptera, Endopterygota, Amphiesmenoptera, Lepidoptera, Glossata, Neolepidoptera, Heteroneura, Ditrysia, Obtectomera, Papilionoidea, Pieridae, Pierinae, Pierini, Pieris	GCA_942653925.1	full
UP001152795	Paramuricea clavata (Red gorgonian) (Violescent sea-whip)	317549	69559	C:80.2%[S:63.2%,D:17.0%],F:11.4%,M:8.4%,n:954	Unknown	Unassembled WGS sequence	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Cnidaria, Anthozoa, Octocorallia, Malacalcyonacea, Plexauridae, Paramuricea	GCA_902702795.2	full
UP001152888	Acanthoscelides obtectus (Bean weevil) (Bruchus obtectus)	200917	56839	C:93.6%[S:53.2%,D:40.4%],F:2.9%,M:3.5%,n:2124	Unknown	Unassembled WGS sequence	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Mandibulata, Pancrustacea, Hexapoda, Insecta, Dicondylia, Pterygota, Neoptera, Endopterygota, Coleoptera, Polyphaga, Cucujiformia, Chrysomeloidea, Chrysomelidae, Bruchinae, Bruchini, Acanthoscelides	GCA_933228535.1	full
UP001153148	Timema podura (Walking stick)	61482	16641	C:47.6%[S:46.5%,D:1.1%],F:27.9%,M:24.4%,n:1367	Unknown	Unassembled WGS sequence	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Mandibulata, Pancrustacea, Hexapoda, Insecta, Dicondylia, Pterygota, Neoptera, Polyneoptera, Phasmatodea, Timematodea, Timematoidea, Timematidae, Timema	GCA_905359515.1	full
UP001153269	Pleuronectes platessa (European plaice)	8262	47956	C:88.1%[S:86.4%,D:1.7%],F:5.2%,M:6.7%,n:3640	Unknown	Unassembled WGS sequence	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Actinopterygii, Actinopteri, Neopterygii, Teleostei, Osteoglossocephalai, Clupeocephala, Euteleosteomorpha, Neoteleostei, Eurypterygia, Ctenosquamata, Acanthomorphata, Euacanthomorphacea, Percomorphaceae, Carangaria, Pleuronectiformes, Pleuronectoidei, Pleuronectidae, Pleuronectes	GCA_902825255.1	full
UP001153954	Euphydryas editha (Edith's checkerspot)	104508	25698	C:97.5%[S:84.6%,D:12.9%],F:1.0%,M:1.4%,n:5286	Unknown	Unassembled WGS sequence	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Mandibulata, Pancrustacea, Hexapoda, Insecta, Dicondylia, Pterygota, Neoptera, Endopterygota, Amphiesmenoptera, Lepidoptera, Glossata, Neolepidoptera, Heteroneura, Ditrysia, Obtectomera, Papilionoidea, Nymphalidae, Nymphalinae, Melitaeini, Euphydryina, Euphydryas	GCA_933666425.1	full
UP001157502	Dallia pectoralis (Alaska blackfish)	75939	32950	C:90.8%[S:89.0%,D:1.8%],F:2.0%,M:7.3%,n:3640	Unknown	Chromosome 1; Chromosome 2; Chromosome 3; Chromosome 4; Chromosome 5; Chromosome 6; Chromosome 7; Chromosome 8; Chromosome 9; Chromosome 10; Chromosome 11; Chromosome 12; Chromosome 13; Chromosome 14; Chromosome 15; Chromosome 16; Chromosome 17; Chromosome 18; Chromosome 19; Chromosome 20; Chromosome 21; Chromosome 22; Chromosome 23; Chromosome 24; Chromosome 25; Chromosome 26; Chromosome 27; Chromosome 28; Chromosome 29; Chromosome 30; Chromosome 31; Chromosome 32; Chromosome 33; Chromosome 34; Chromosome 35; Chromosome 36; Chromosome 37	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Actinopterygii, Actinopteri, Neopterygii, Teleostei, Osteoglossocephalai, Clupeocephala, Euteleosteomorpha, Protacanthopterygii, Esociformes, Umbridae, Dallia	GCA_029465975.1	full
UP001158576	Oikopleura dioica (Tunicate)	34765	18603	C:66.8%[S:59.9%,D:6.9%],F:6.0%,M:27.3%,n:954	Unknown	Chromosome 1; Chromosome 2; Chromosome PAR; Chromosome XSR; Chromosome YSR; Mitochondrion MIT; Unassembled WGS sequence	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Tunicata, Appendicularia, Copelata, Oikopleuridae, Oikopleura	GCA_907165135.1	full
UP001159363	Dryococelus australis	614101	33087	C:51.8%[S:51.4%,D:0.4%],F:8.1%,M:40.1%,n:1367	Unknown	Chromosome 1; Chromosome 2; Chromosome 3; Chromosome 4; Chromosome 5; Chromosome 6; Chromosome 7; Chromosome 8; Chromosome 9; Chromosome 10; Chromosome X; Chromosome 11; Chromosome 12; Chromosome 13; Chromosome 14; Chromosome 15; Chromosome 16; Unassembled WGS sequence	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Mandibulata, Pancrustacea, Hexapoda, Insecta, Dicondylia, Pterygota, Neoptera, Polyneoptera, Phasmatodea, Verophasmatodea, Anareolatae, Phasmatidae, Eurycanthinae, Dryococelus	GCA_029891345.1	full
UP001159405	Porites lobata	104759	42611	C:95.0%[S:91.3%,D:3.7%],F:1.8%,M:3.2%,n:954	Unknown	Unassembled WGS sequence	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Cnidaria, Anthozoa, Hexacorallia, Scleractinia, Fungiina, Poritidae, Porites	GCA_942486035.1	full
UP001159427	Porites evermanni	104178	39801	C:93.2%[S:80.6%,D:12.6%],F:2.7%,M:4.1%,n:954	Unknown	Unassembled WGS sequence	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Cnidaria, Anthozoa, Hexacorallia, Scleractinia, Fungiina, Poritidae, Porites	GCA_942486025.1	full
UP001159428	Pocillopora meandrina	46732	31944	C:94.9%[S:92.0%,D:2.8%],F:2.4%,M:2.7%,n:954	Unknown	Unassembled WGS sequence	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Cnidaria, Anthozoa, Hexacorallia, Scleractinia, Astrocoeniina, Pocilloporidae, Pocillopora	GCA_942486045.1	full
UP001160148	Macrosiphum euphorbiae (potato aphid)	13131	33432	C:97.4%[S:86.0%,D:11.4%],F:0.9%,M:1.8%,n:2510	Unknown	Unassembled WGS sequence	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Mandibulata, Pancrustacea, Hexapoda, Insecta, Dicondylia, Pterygota, Neoptera, Paraneoptera, Hemiptera, Sternorrhyncha, Aphidomorpha, Aphidoidea, Aphididae, Aphidinae, Macrosiphini, Macrosiphum	GCA_949089665.1	full
UP001162156	Rhamnusium bicolor	1586634	19372	C:66.9%[S:66.0%,D:1.0%],F:15.8%,M:17.3%,n:2124	Unknown	Unassembled WGS sequence	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Mandibulata, Pancrustacea, Hexapoda, Insecta, Dicondylia, Pterygota, Neoptera, Endopterygota, Coleoptera, Polyphaga, Cucujiformia, Chrysomeloidea, Cerambycidae, Lepturinae, Rhagiini, Rhamnusium	GCA_029963845.1	full
UP001162164	Molorchus minor	1323400	18551	C:63.9%[S:63.0%,D:0.9%],F:14.8%,M:21.3%,n:2124	Unknown	Unassembled WGS sequence	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Mandibulata, Pancrustacea, Hexapoda, Insecta, Dicondylia, Pterygota, Neoptera, Endopterygota, Coleoptera, Polyphaga, Cucujiformia, Chrysomeloidea, Cerambycidae, Lamiinae, Monochamini, Molorchus	GCA_029963825.1	full
UP001162483	Staurois parvus	386267	91370	C:42.3%[S:40.0%,D:2.3%],F:18.0%,M:39.7%,n:5310	Unknown	Unassembled WGS sequence	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amphibia, Batrachia, Anura, Neobatrachia, Ranoidea, Ranidae, Staurois	GCA_951230385.1	full
UP001164746	Mya arenaria (Soft-shell clam)	6604	37840	C:59.8%[S:50.2%,D:9.7%],F:3.1%,M:37.0%,n:5295	Unknown	Chromosome 1; Chromosome 2; Chromosome 3; Chromosome 4; Chromosome 5; Chromosome 6; Chromosome 7; Chromosome 8; Chromosome 9; Chromosome 10; Chromosome 11; Chromosome 12; Chromosome 13; Chromosome 14; Chromosome 15; Chromosome 16; Chromosome 17	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Spiralia, Lophotrochozoa, Mollusca, Bivalvia, Autobranchia, Heteroconchia, Euheterodonta, Imparidentia, Neoheterodontei, Myida, Myoidea, Myidae, Mya	GCA_026914265.1	full
UP001165941	Pontoporia blainvillei (Franciscana) (Delphinus blainvillei)	48723	4277	C:8.8%[S:8.8%,D:0.0%],F:3.2%,M:87.9%,n:13335	Unknown	Unassembled WGS sequence	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Laurasiatheria, Artiodactyla, Whippomorpha, Cetacea, Odontoceti, Pontoporiidae, Pontoporia	GCA_011754075.1	full
UP001166052	Polypterus senegalus (Senegal bichir)	55291	5765	C:25.5%[S:24.8%,D:0.6%],F:2.8%,M:71.8%,n:3640	Unknown	Unassembled WGS sequence	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Actinopterygii, Cladistia, Polypteriformes, Polypteridae, Polypterus	GCA_016984135.1	full
UP001168821	Zophobas morio	2755281	29607	C:88.9%[S:83.9%,D:5.1%],F:2.9%,M:8.2%,n:2124	Unknown	Unassembled WGS sequence	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Mandibulata, Pancrustacea, Hexapoda, Insecta, Dicondylia, Pterygota, Neoptera, Endopterygota, Coleoptera, Polyphaga, Cucujiformia, Tenebrionoidea, Tenebrionidae, Tenebrioninae, Zophobas	GCA_027724725.1	full
UP001168990	Microctonus aethiopoides	144406	13908	C:94.1%[S:83.6%,D:10.5%],F:1.5%,M:4.4%,n:5991	Unknown	Unassembled WGS sequence	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Mandibulata, Pancrustacea, Hexapoda, Insecta, Dicondylia, Pterygota, Neoptera, Endopterygota, Hymenoptera, Apocrita, Ichneumonoidea, Braconidae, Euphorinae, Microctonus	GCA_030347275.1	full
UP001174136	Merluccius polli (Benguela hake) (Merluccius cadenati)	89951	25543	C:67.9%[S:63.3%,D:4.6%],F:3.7%,M:28.4%,n:3640	Unknown	Unassembled WGS sequence	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Actinopterygii, Actinopteri, Neopterygii, Teleostei, Osteoglossocephalai, Clupeocephala, Euteleosteomorpha, Neoteleostei, Eurypterygia, Ctenosquamata, Acanthomorphata, Paracanthopterygii, Zeiogadaria, Gadariae, Gadiformes, Gadoidei, Merlucciidae, Merluccius	GCA_030340625.1	full
UP001175271	Steinernema hermaphroditum	289476	36137	C:88.1%[S:43.2%,D:44.8%],F:0.8%,M:11.1%,n:3131	Unknown	Chromosome I; Chromosome III; Chromosome V; Chromosome X; Chromosome N; Unassembled WGS sequence	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda, Chromadorea, Rhabditida, Tylenchina, Panagrolaimomorpha, Strongyloidoidea, Steinernematidae, Steinernema	GCA_030435675.2	full
